current_binomial;current_name;source_current_name;current_authority;sp6;sp4;wcvp_matched_authors;wcvp_matched_name;wcvp_matched_plant_name_id;wcvp_matched_ipni_id;wcvp_matched_status;wcvp_match_similarity;wcvp_accepted_name;wcvp_accepted_binomial;wcvp_accepted_family;wcvp_accepted_authority;wcvp_accepted_plant_name_id;wcvp_accepted_powo_id;wcvp_accepted_ipni_id;wcvp_accepted_lifeform;garwood_name;garwood_synonyms;garwood_lifeform;zotz_name;census_plot;BCI;garwood_BCNM;liana_name;woody_forestgeo;forestgeo_habit;source_list;wcvp_matched_name_gbif_id;wcvp_matched_name_gbif_scientificName;wcvp_matched_name_gbif_matchtype;wcvp_matched_name_gbif_status;wcvp_matched_name_gbif_acceptedScientificName;wcvp_accepted_name_gbif_id;wcvp_accepted_name_gbif_scientificName;wcvp_accepted_name_gbif_matchtype;wcvp_accepted_name_gbif_status;wcvp_accepted_name_gbif_acceptedScientificName
Abelmoschus moschatus;Abelmoschus moschatus;Garwood2009;(L.) Medik.;;;Medik.;Abelmoschus moschatus;2609599;558023-1;Accepted;1;Abelmoschus moschatus;Abelmoschus moschatus;Malvaceae;Medik.;2609599;558023-1;558023-1;annual or shrub;Abelmoschus moschatus;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;8312665;Abelmoschus moschatus (L.) Medik.;EXACT;ACCEPTED;;8312665;Abelmoschus moschatus (L.) Medik.;EXACT;ACCEPTED;
Abuta panamensis;Abuta panamensis;ForestGeo;(Standl.) Krukoff & Barneby;abutpa;ABUP;(Standl.) Krukoff & Barneby;Abuta panamensis;2610398;156-2;Accepted;1;Abuta panamensis;Abuta panamensis;Menispermaceae;(Standl.) Krukoff & Barneby;2610398;156-2;156-2;liana;Abuta panamensis;;L;;;VRAI;FAUX;;VRAI;Climbing;Garwood2009;3830289;Abuta panamensis (Standl.) Krukoff & Barneby;EXACT;ACCEPTED;;3830289;Abuta panamensis (Standl.) Krukoff & Barneby;EXACT;ACCEPTED;
Abuta racemosa;Abuta racemosa;ForestGeo;(Thunb.) Triana & Planch.;abutra;ABUR;Triana & Planch.;Abuta racemosa;2610403;580077-1;Accepted;1;Abuta racemosa;Abuta racemosa;Menispermaceae;Triana & Planch.;2610403;580077-1;580077-1;climbing shrub;Abuta racemosa;;L;;;VRAI;FAUX;Abuta racemosa;VRAI;Climbing;Garwood2009;7349979;Abuta racemosa (Thunb.) Tr. & Pl.;EXACT;ACCEPTED;;7349979;Abuta racemosa (Thunb.) Tr. & Pl.;EXACT;ACCEPTED;
Acalypha arvensis;Acalypha arvensis;Garwood2009;Poepp. & Endl.;;;Poepp.;Acalypha arvensis;208;1115-2;Accepted;1;Acalypha arvensis;Acalypha arvensis;Euphorbiaceae;Poepp.;208;1115-2;1115-2;annual or subshrub;Acalypha arvensis;;Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;3056742;Acalypha arvensis Poepp.;EXACT;ACCEPTED;;3056742;Acalypha arvensis Poepp.;EXACT;ACCEPTED;
Acalypha diversifolia;Acalypha diversifolia;ForestGeo;Jacq.;acaldi;ACAD;Jacq.;Acalypha diversifolia;487;1228-2;Accepted;1;Acalypha diversifolia;Acalypha diversifolia;Euphorbiaceae;Jacq.;487;1228-2;1228-2;shrub or tree;Acalypha diversifolia;;S;;bci50ha, P10, P13, P18;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;3056298;Acalypha diversifolia Jacq.;EXACT;ACCEPTED;;3056298;Acalypha diversifolia Jacq.;EXACT;ACCEPTED;
Acalypha macrostachya;Acalypha macrostachya;ForestGeo;Jacq.;acalma;ACA2;Jacq.;Acalypha macrostachya;838;1362-2;Accepted;1;Acalypha macrostachya;Acalypha macrostachya;Euphorbiaceae;Jacq.;838;1362-2;1362-2;shrub or tree;Acalypha macrostachya;;U;;bci50ha;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;3056437;Acalypha macrostachya Jacq.;EXACT;ACCEPTED;;3056437;Acalypha macrostachya Jacq.;EXACT;ACCEPTED;
Acalypha wilkesiana;Acalypha wilkesiana;ForestGeo;Müll. Arg.;acalwi;ACAW;Müll.Arg.;Acalypha wilkesiana;1384;337939-1;Accepted;1;Acalypha wilkesiana;Acalypha wilkesiana;Euphorbiaceae;Müll.Arg.;1384;337939-1;337939-1;shrub or tree;Acalypha amentacea subsp. wilkesiana;"Acalypha wilkesiana Müll. Arg.  (Croat 1978; Correa et al. 2004)";H;;;VRAI;FAUX;;VRAI;Freestanding;Garwood2009;3057221;Acalypha wilkesiana Müll.Arg.;EXACT;ACCEPTED;;3057221;Acalypha wilkesiana Müll.Arg.;EXACT;ACCEPTED;
Acianthera verecunda;Acianthera verecunda;Zotz;;;;(Schltr.) Pridgeon & M.W.Chase;Acianthera verecunda;217629;1212559-2;Accepted;1;Acianthera verecunda;Acianthera verecunda;Orchidaceae;(Schltr.) Pridgeon & M.W.Chase;217629;1212559-2;1212559-2;epiphyte;Pleurothallis verecunda;Alt. name: Acianthera verecunda (Schltr.) Pridgeon & M.W. Chase, comb. nov. 2001;E;Acianthera verecunda;;VRAI;FAUX;;FAUX;;Zotz;2839908;Acianthera verecunda (Schltr.) Pridgeon & M.W.Chase;EXACT;ACCEPTED;;2839908;Acianthera verecunda (Schltr.) Pridgeon & M.W.Chase;EXACT;ACCEPTED;
Aciotis rubricaulis;Aciotis rubricaulis;Garwood2009;(Mart. ex DC.) Triana;;;(Mart. ex DC.) Triana;Aciotis rubricaulis;3022752;1101289-2;Accepted;1;Aciotis rubricaulis;Aciotis rubricaulis;Melastomataceae;(Mart. ex DC.) Triana;3022752;1101289-2;1101289-2;;Aciotis rubricaulis;"Aciotis levyana Cogn. (Croat 1978); Aciotis alata (Beurl.) Almeda (Almeda 1997); Aciotis caulialata (Ruiz & Pav.) Triana (Almeda 2001)";Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;3861798;Aciotis rubricaulis (Mart. ex DC.) Triana;EXACT;ACCEPTED;;3861798;Aciotis rubricaulis (Mart. ex DC.) Triana;EXACT;ACCEPTED;
Acmella brachyglossa;Acmella brachyglossa;Garwood2009;Cass.;;;Cass.;Acmella brachyglossa;3123703;174530-1;Accepted;1;Acmella brachyglossa;Acmella brachyglossa;Asteraceae;Cass.;3123703;174530-1;174530-1;annual;Acmella brachyglossa;Spilanthes alba L'Hér. sensu Croat (1978);Hw;;;VRAI;FAUX;;FAUX;;Garwood2009;5386734;Acmella brachyglossa Cass.;EXACT;ACCEPTED;;5386734;Acmella brachyglossa Cass.;EXACT;ACCEPTED;
