type,label,value
species,Abelmoschus moschatus,8312665
species,Abuta panamensis-ABUTPA-ABUP,3830289
species,Abuta racemosa-ABUTRA-ABUR,7349979
species,Acalypha arvensis,3056742
species,Acalypha diversifolia-ACALDI-ACAD,3056298
species,Acalypha macrostachya-ACALMA-ACA2,3056437
species,Acalypha wilkesiana-ACALWI-ACAW,3057221
species,Acianthera verecunda,2839908
species,Aciotis rubricaulis,3861798
species,Acmella brachyglossa,5386734
species,Acroceras zizanioides,4139637
species,Acrostichum aureum,2651706
species,Acrostichum danaeifolium,2651707
species,Adelia triloba-ADE1TR-ADET,5380432
species,Adelobotrys adscendens-ADELAD-ADE1,3860874
species,Adelphia hiraea-MASCHI-MASH,5635040
species,Adenaria floribunda-ADENFL,7286112
species,Adenocalymma arthropetiolatum-ADE3AR,4092999
species,Adenocalymma inundatum-ADE3IN-ADE2,7298432
species,Adiantum decoratum,3747462
species,Adiantum fructuosum,8183182
species,Adiantum humile,3749246
species,Adiantum latifolium,2651837
species,Adiantum lucidum,2651822
species,Adiantum lunulatum,7173671
species,Adiantum obliquum,2651838
species,Adiantum petiolatum,2651824
species,Adiantum pulverulentum,2651851
species,Adiantum seemannii,3748782
species,Adiantum × variopinnatum,7967948
species,Aechmea magdalenae,2697829
species,Aechmea nudicaulis,2698486
species,Aechmea pubescens,2698312
species,Aechmea setigera,2697849
species,Aechmea tillandsioides,2698327
species,Aegiphila cephalophora-AEGICE-AEGC,3893257
species,Aegiphila elata-AEGIEL-AEGE,2925469
species,Aegiphila panamensis-AEGIPA-AEGP,3891222
species,Aeschynomene americana,2949235
species,Aeschynomene ciliata,2949280
species,Aeschynomene sensitiva,2949316
species,Aiouea montana-PHOECI-PHOM,9671278
species,Alchornea costaricensis-ALCHCO-ALCC,3055427
species,Alchornea latifolia-ALCHLA-ALCL,3055359
species,Alibertia dwyeri-BOROPA-BORP,7729119
species,Alibertia edulis-ALIBED-ALIE,5335670
species,Alibertia patinoi-ALIBPA,7825670
species,Allamanda cathartica-ALLACA-ALLC,3169836
species,Allophylus psilospermus-ALLOPS-ALLP,5577078
species,Alseis blackiana-ALSEBL-ALSB,5334873
species,Alsophila cuspidata,5529620
species,Alternanthera paronychioides,3084922
species,Alternanthera sessilis,3084939
species,Amaioua glomerulata-AMAICO-AMAC,7686451
species,Amaranthus viridis,5384334
species,Amphilophium crucigerum-AMP3CR,4931838
species,Amphilophium paniculatum-AMP3PA-AMPP,3172589
species,Anacardium excelsum-ANACEX-ANAE,5544303
species,Anacardium occidentale-ANACOC-ANAO,5421368
species,Ananas comosus,5288819
species,Ananthacorus angustifolius,2650242
species,Anaxagorea panamensis-ANAXPA-ANAP,3156864
species,Ancistrotropis peduncularis-VIGNPE,7484829
species,Andira inermis-ANDIIN-ANDI,2952214
species,Andropogon bicornis,2706079
species,Andropogon glomeratus,2706097
species,Andropogon leucostachyus,2706096
species,Andropogon virginicus,2706080
species,Anemopaegma chrysoleucum-ANEMC1,4093499
species,Aniseia luxurians-ISEILU-ISEL,9730688
species,Aniseia martinicensis-ANISMA,2928410
species,Annona acuminata-ANNOAC-ANNA,5407198
species,Annona glabra-ANNOGL-ANNG,5407100
species,Annona hayesii-ANNOHA-ANNH,7539280
species,Annona muricata-ANNOMU-ANNM,5407273
species,Annona purpurea-ANNOPU,5407091
species,Annona spraguei-ANNOSP-ANNS,5407072
species,Anthephora hermaphrodita,2702936
species,Anthodon decussatus-ANT2DE,5579479
species,Anthurium acutangulum,2873612
species,Anthurium bakeri,4933146
species,Anthurium brownii,2872746
species,Anthurium clavigerum,2872456
species,Anthurium concolor,2873585
species,Anthurium flexile,2872279
species,Anthurium friedrichsthalii,2872380
species,Anthurium gracile,2872811
species,Anthurium kunthii,2873587
species,Anthurium myosuroides,2872448
species,Anthurium obtusum,2873359
species,Anthurium ochranthum,2872582
species,Anthurium paludosum,2872486
species,Anthurium salvinii,2872887
species,Anthurium scandens,2873423
species,Apeiba membranacea-APEIME-APEM,4260481
species,Apeiba tibourbou-APEITI-APET,3152052
species,Aphelandra sinclairiana-APHESI-APHS,3776906
species,Apodanthes caseariae,3941218
