Name_submitted;sp6;Canonical_author;Name_matched_accepted_family
Acalypha diversifolia;ACALDI;Jacq.;Euphorbiaceae
Aegiphila costaricensis;AEGICO;Moldenke;Lamiaceae
Aegiphila elata;;Sw.;Lamiaceae
Aegiphila panamensis;AEGIPA;Moldenke;Lamiaceae
Alchornea costaricensis;ALCHCO;Pax & K.Hoffm.;Euphorbiaceae
Alchornea glandulosa;ALCHGL;Poepp.;Euphorbiaceae
Alchornea latifolia;ALCHLA;Sw.;Euphorbiaceae
Allophylus psilospermus;ALLOPS;Radlk.;Sapindaceae
Alseis blackiana;ALSEBL;Hemsl.;Rubiaceae
Amphirrhox longifolia;AMPHLO;Spreng.;Violaceae
Amphitecna isthmica;AMP1IS;(A.H.Gentry) A.H.Gentry;Bignoniaceae
Andira inermis;ANDIIN;(W.Wright) DC.;Fabaceae
Aniba hostmanniana;ANIBHO;(Nees) Mez;Lauraceae
Aniba puchury-minor;ANIBPU;(Mart.) Mez;Lauraceae
Annona papilionella;ROLLPI;(Diels) H.Rainer;Annonaceae
Apeiba membranacea;APEIME;Spruce ex Benth.;Malvaceae
Apeiba tibourbou;APEITI;Aubl.;Malvaceae
Aphelandra sinclairiana;APHESI;Nees;Acanthaceae
Ardisia copeyana;ARDIFE;Standl.;Primulaceae
Ardisia guianensis;ARDIGU;(Aubl.) Mez;Primulaceae
Astrocaryum standleyanum;AST1ST;L.H.Bailey;Arecaceae
Bactris barronis;BACTBA;L.H.Bailey;Arecaceae
Bactris coloniata;BACTC1;L.H.Bailey;Arecaceae
Bactris coloradonis;BACTC2;L.H.Bailey;Arecaceae
Bactris gracilior;BACTGR;Burret;Arecaceae
Bactris major;BACTMA;Jacq.;Arecaceae
Bactris maraja;BACTM1;Mart.;Arecaceae
Bactris obovata;;H.Wendl. ex Schaedtler;Arecaceae
Beilschmiedia tovarensis;BEILPE;(Klotzsch & H.Karst. ex Meisn.) Sachiko Nishida;Lauraceae
Bixa urucurana;BIXAUR;Willd.;Bixaceae
Brosimum alicastrum;BROSAL;Sw.;Moraceae
Brosimum costaricanum;BROSCO;Liebm.;Moraceae
Brosimum guianense;BROSGU;(Aubl.) Lemée;Moraceae
Brosimum rubescens;BROSRU;Taub.;Moraceae
Brosimum utile;BROSUT;(Kunth) Oken;Moraceae
Brownea macrophylla;BROWMA;Linden;Fabaceae
Bunchosia argentea;BUNCAR;DC.;Malpighiaceae
Bunchosia dwyeri;BUNCDW;Cuatrec. & Croat;Malpighiaceae
Bunchosia nitida;BUNCCO;(Jacq.) A.Rich.;Malpighiaceae
Calatola costaricensis;CALACO;Standl.;Icacinaceae
Carapa guianensis;CARAGU;Aubl.;Meliaceae
Carludovica palmata;;Ruiz & Pav.;Cyclanthaceae
Casearia arborea;CASEAR;(Rich.) Urb.;Salicaceae
Casearia arguta;CASEA1;Kunth;Salicaceae
Casearia guianensis;CASEGU;(Aubl.) Urb.;Salicaceae
Casearia sylvestris;CASESY;Sw.;Salicaceae
Castilla tunu;;Hemsl.;Moraceae
Cecropia insignis;CECRIN;Liebm.;Urticaceae
Cecropia longipes;CECRLO;Pittier;Urticaceae
Cecropia obtusifolia;CECROB;Bertol.;Urticaceae
Cecropia peltata;CECRPE;L.;Urticaceae
Ceiba pentandra;CEIBPE;(L.) Gaertn.;Malvaceae
Celtis schippii;CELTSC;Standl.;Cannabaceae
Cestrum schlechtendalii;CESTME;G.Don;Solanaceae
Chamaedorea tepejilote;CHA1TE;Liebm.;Arecaceae
Cheiloclinium cognatum;CHEICO;(Miers) A.C.Sm.;Celastraceae
Chomelia spinosa;CHOMSP;Jacq.;Rubiaceae
Chrysochlamys eclipes;CHR1EC;L.O.Williams;Clusiaceae
Chrysophyllum argenteum;CHR2AR;Jacq.;Sapotaceae
Clarisia biflora;CLARBI;Ruiz & Pav.;Moraceae
Clarisia racemosa;CLARRA;Ruiz & Pav.;Moraceae
Clavija costaricana;CLAVCO;Pittier;Primulaceae
Clavija fusca;CLAVFU;B.Ståhl;Primulaceae
Clitoria arborescens;;R.Br.;Fabaceae
Coccoloba darienensis;COCCDA;R.A.Howard;Polygonaceae
Coccoloba manzinellensis;COCCMA;Beurl.;Polygonaceae
Cochlospermum orinocense;COCHOR;(Kunth) Steud.;Bixaceae
Cordia alliodora;CORDAL;(Ruiz & Pav.) Oken;Boraginaceae
Cordia bicolor;CORDBI;A.DC.;Boraginaceae
Cordia lasiocalyx;CORDLA;Pittier;Boraginaceae
Croton schiedeanus;CROTSC;Schltdl.;Euphorbiaceae
Cryosophila warscewiczii;CRYOWA;(H.Wendl.) Bartlett;Arecaceae
Cupania glabra;;Sw.;Sapindaceae
Cupania guatemalensis;CUPAGU;Radlk.;Sapindaceae
Cupania latifolia;CUPALA;Kunth;Sapindaceae
Cupania rufescens;CUPARU;Triana & Planch.;Sapindaceae
Cupania scrobiculata;CUPASC;Rich.;Sapindaceae
Cupania seemannii;CUPASY;Triana & Planch.;Sapindaceae
Cymbopetalum lanugipetalum;CYM1LA;Schery;Annonaceae
Cymbopetalum rugulosum;CYM1RU;N.A.Murray;Annonaceae
Nectandra purpurea;NECTPU;(Ruiz & Pav.) Mez;Lauraceae
Dendropanax arboreus;DENDAR;(L.) Decne. & Planch.;Araliaceae
Dendropanax panamensis;DENDPA;M.J.Cannon & Cannon;Araliaceae
Desmopsis panamensis;DES2PA;(B.L.Rob.) Saff.;Annonaceae
Dialium guianense;DIALGU;(Aubl.) Sandwith;Fabaceae
Didymopanax morototoni;SCH2MO;(Aubl.) Decne. & Planch.;Araliaceae
Dilodendron costaricense;DILOCO;(Radlk.) A.H.Gentry & Steyerm.;Sapindaceae
Dipteryx oleifera;DIPTPA;Benth.;Fabaceae
Drypetes standleyi;DRYPST;G.L.Webster;Putranjivaceae
Ecclinusa lanceolata;ECCLLA;Pierre;Sapotaceae
Enterolobium schomburgkii;ENTESC;(Benth.) Benth.;Fabaceae
Erythrina costaricensis;ERY1CO;Micheli;Fabaceae
Erythroxylum citrifolium;ERY2CI;A.St.-Hil.;Erythroxylaceae
Erythroxylum macrophyllum;ERY2MA;Cav.;Erythroxylaceae
Erythroxylum panamense;ERY2PA;Turcz.;Erythroxylaceae
Eschweilera amplexifolia;ESCHAM;S.A.Mori;Lecythidaceae
Eschweilera panamensis;ESCHPA;Pittier;Lecythidaceae
Eschweilera reversa;ESCHPI;Pittier;Lecythidaceae
Eugenia nesiotica;EUGENE;Standl.;Myrtaceae
Eugenia oerstediana;EUGEOE;O.Berg;Myrtaceae
Eugenia principium;EUGEPR;McVaugh;Myrtaceae
Euterpe precatoria;EUTEPR;Mart.;Arecaceae
Faramea occidentalis;FARAOC;(L.) A.Rich.;Rubiaceae
Faramea ovalis;FARAOV;Standl.;Rubiaceae
Ficus citrifolia;FICUCI;Mill.;Moraceae
Ficus colubrinae;FICUC1;Standl.;Moraceae
Ficus hartwegii;FICUHA;Miq.;Moraceae
Ficus insipida;FICUIN;Willd.;Moraceae
Ficus matiziana;FICUBU;Dugand;Moraceae
Ficus maxima;FICUMA;Mill.;Moraceae
Ficus tonduzii;FICUTO;Standl.;Moraceae
Genipa americana;GENIAM;L.;Rubiaceae
Geonoma calyptrogynoidea;;Burret;Arecaceae
Geonoma congesta;GEONCO;H.Wendl. ex Spruce;Arecaceae
Geonoma interrupta;GEONIN;(Ruiz & Pav.) Mart.;Arecaceae
Geonoma undata;GEONUN;Klotzsch;Arecaceae
Gitara nicaraguensis;ACIDNI;(Hemsl.) Card.-McTeag. & L.J.Gillespie;Euphorbiaceae
Guapira costaricana;GUAPCO;(Standl.) Woodson;Nyctaginaceae
Guapira myrtiflora;GUAPST;(Standl.) Little;Nyctaginaceae
Guarea bullata;GUARSP;Radlk.;Meliaceae
Guarea glabra;;Vahl;Meliaceae
