orig_family,orig_name,orig_author,orig_binomial,orig_genus,orig_species,orig_infraspecies_rank,orig_infraspecies,sp6,wcvp_matched_name,wcvp_matched_authors,wcvp_matched_rank,wcvp_matched_status,wcvp_matched_plant_name_id,wcvp_matched_ipni_id,match_similarity,wcvp_accepted_plant_name_id,wcvp_accepted_powo_id,wcvp_accepted_ipni_id,wcvp_accepted_name,wcvp_accepted_name_genus,wcvp_accepted_name_species,wcvp_accepted_name_rank,wcvp_accepted_family,wcvp_accepted_name_infraspecific_rank,wcvp_accepted_name_infraspecies,wcvp_accepted_author,wcvp_accepted_authority,wcvp_lifeform_description,origmatches,row_id,wcvp_matched_name_gbif_id,wcvp_matched_name_gbif_scientificName,wcvp_matched_name_gbif_matchtype,wcvp_matched_name_gbif_status,wcvp_matched_name_gbif_acceptedScientificName,wcvp_accepted_name_gbif_id,wcvp_accepted_name_gbif_scientificName,wcvp_accepted_name_gbif_matchtype,wcvp_accepted_name_gbif_status,wcvp_accepted_name_gbif_acceptedScientificName
Fabaceae,Abarema idiopoda,(S.F.Blake) Barneby & J.W.Grimes,Abarema idiopoda,Abarema,idiopoda,,,ABARID,Abarema idiopoda,(S.F.Blake) Barneby & J.W.Grimes,Species,Synonym,2609341,989354-1,1,3274630,77218789-1,77218789-1,Jupunba idiopoda,Jupunba,idiopoda,Species,Fabaceae,,,"M.V.B.Soares, M.P.Morim & Iganci","(S.F.Blake) M.V.B.Soares, M.P.Morim & Iganci",tree,TRUE,1,2977874,Abarema idiopoda (S.F.Blake) Barneby & J.W.Grimes,EXACT,SYNONYM,"Jupunba idiopoda (S.F.Blake) M.V.B.Soares, M.P.Morim & Iganci",11430363,"Jupunba idiopoda (S.F.Blake) M.V.B.Soares, M.P.Morim & Iganci",EXACT,ACCEPTED,
Euphorbiaceae,Acalypha diversifolia,Jacq.,Acalypha diversifolia,Acalypha,diversifolia,,,ACALDI,Acalypha diversifolia,Jacq.,Species,Accepted,487,1228-2,1,487,1228-2,1228-2,Acalypha diversifolia,Acalypha,diversifolia,Species,Euphorbiaceae,,,Jacq.,Jacq.,shrub or tree,TRUE,2,3056298,Acalypha diversifolia Jacq.,EXACT,ACCEPTED,,3056298,Acalypha diversifolia Jacq.,EXACT,ACCEPTED,
Lamiaceae,Aegiphila costaricensis,Moldenke,Aegiphila costaricensis,Aegiphila,costaricensis,,,AEGICO,Aegiphila costaricensis,Moldenke,Species,Accepted,3397,5690-2,1,3397,5690-2,5690-2,Aegiphila costaricensis,Aegiphila,costaricensis,Species,Lamiaceae,,,Moldenke,Moldenke,shrub or tree,TRUE,3,3893093,Aegiphila costaricensis Moldenke,EXACT,ACCEPTED,,3893093,Aegiphila costaricensis Moldenke,EXACT,ACCEPTED,
Lamiaceae,Aegiphila elata,Sw.,Aegiphila elata,Aegiphila,elata,,,,Aegiphila elata,Sw.,Species,Accepted,3415,860847-1,1,3415,860847-1,860847-1,Aegiphila elata,Aegiphila,elata,Species,Lamiaceae,,,Sw.,Sw.,climbing shrub or tree,TRUE,4,2925469,Aegiphila elata Sw.,EXACT,ACCEPTED,,2925469,Aegiphila elata Sw.,EXACT,ACCEPTED,
Lamiaceae,Aegiphila panamensis,Moldenke,Aegiphila panamensis,Aegiphila,panamensis,,,AEGIPA,Aegiphila panamensis,Moldenke,Species,Accepted,3562,5786-2,1,3562,5786-2,5786-2,Aegiphila panamensis,Aegiphila,panamensis,Species,Lamiaceae,,,Moldenke,Moldenke,shrub or tree,TRUE,5,3891222,Aegiphila panamensis Moldenke,EXACT,ACCEPTED,,3891222,Aegiphila panamensis Moldenke,EXACT,ACCEPTED,
Euphorbiaceae,Alchornea costaricensis,Pax & K.Hoffm.,Alchornea costaricensis,Alchornea,costaricensis,,,ALCHCO,Alchornea costaricensis,Pax & K.Hoffm.,Species,Accepted,5725,8183-2,1,5725,8183-2,8183-2,Alchornea costaricensis,Alchornea,costaricensis,Species,Euphorbiaceae,,,Pax & K.Hoffm.,Pax & K.Hoffm.,tree,TRUE,6,3055427,Alchornea costaricensis Pax & K.Hoffm.,EXACT,ACCEPTED,,3055427,Alchornea costaricensis Pax & K.Hoffm.,EXACT,ACCEPTED,
Euphorbiaceae,Alchornea glandulosa,Poepp.,Alchornea glandulosa,Alchornea,glandulosa,,,ALCHGL,Alchornea glandulosa,Poepp.,Species,Accepted,5745,30043708-2,1,5745,30043708-2,30043708-2,Alchornea glandulosa,Alchornea,glandulosa,Species,Euphorbiaceae,,,Poepp.,Poepp.,tree,TRUE,7,3055361,Alchornea glandulosa Poepp.,EXACT,ACCEPTED,,3055361,Alchornea glandulosa Poepp.,EXACT,ACCEPTED,
Euphorbiaceae,Alchornea latifolia,Sw.,Alchornea latifolia,Alchornea,latifolia,,,ALCHLA,Alchornea latifolia,Sw.,Species,Accepted,5783,338417-1,1,5783,338417-1,338417-1,Alchornea latifolia,Alchornea,latifolia,Species,Euphorbiaceae,,,Sw.,Sw.,tree,TRUE,8,3055359,Alchornea latifolia Sw.,EXACT,ACCEPTED,,3055359,Alchornea latifolia Sw.,EXACT,ACCEPTED,
Sapindaceae,Allophylus psilospermus,Radlk.,Allophylus psilospermus,Allophylus,psilospermus,,,ALLOPS,Allophylus psilospermus,Radlk.,Species,Accepted,2629484,781899-1,1,2629484,781899-1,781899-1,Allophylus psilospermus,Allophylus,psilospermus,Species,Sapindaceae,,,Radlk.,Radlk.,tree,TRUE,9,5577078,Allophylus psilospermus Radlk.,EXACT,ACCEPTED,,5577078,Allophylus psilospermus Radlk.,EXACT,ACCEPTED,
Rubiaceae,Alseis blackiana,Hemsl.,Alseis blackiana,Alseis,blackiana,,,ALSEBL,Alseis blackiana,Hemsl.,Species,Accepted,6968,743041-1,1,6968,743041-1,743041-1,Alseis blackiana,Alseis,blackiana,Species,Rubiaceae,,,Hemsl.,Hemsl.,tree,TRUE,10,5334873,Alseis blackiana Hemsl.,EXACT,ACCEPTED,,5334873,Alseis blackiana Hemsl.,EXACT,ACCEPTED,
Violaceae,Amphirrhox longifolia,Spreng.,Amphirrhox longifolia,Amphirrhox,longifolia,,,AMPHLO,Amphirrhox longifolia,(A.St.-Hil.) Spreng.,Species,Accepted,2634744,866404-1,1,2634744,866404-1,866404-1,Amphirrhox longifolia,Amphirrhox,longifolia,Species,Violaceae,,,Spreng.,(A.St.-Hil.) Spreng.,tree,TRUE,11,4075006,Amphirrhox longifolia (A.St.-Hil.) Spreng.,EXACT,ACCEPTED,,4075006,Amphirrhox longifolia (A.St.-Hil.) Spreng.,EXACT,ACCEPTED,
Bignoniaceae,Amphitecna isthmica,(A.H.Gentry) A.H.Gentry,Amphitecna isthmica,Amphitecna,isthmica,,,AMP1IS,Amphitecna isthmica,(A.H.Gentry) A.H.Gentry,Species,Accepted,319478,108216-1,1,319478,108216-1,108216-1,Amphitecna isthmica,Amphitecna,isthmica,Species,Bignoniaceae,,,A.H.Gentry,(A.H.Gentry) A.H.Gentry,tree,TRUE,12,4094040,Amphitecna isthmica (A.H.Gentry) A.H.Gentry,EXACT,ACCEPTED,,4094040,Amphitecna isthmica (A.H.Gentry) A.H.Gentry,EXACT,ACCEPTED,
Fabaceae,Andira inermis,(W.Wright) DC.,Andira inermis,Andira,inermis,,,ANDIIN,Andira inermis,(W.Wright) Kunth ex DC.,Species,Accepted,2636921,1075415-2,1,2636921,1075415-2,1075415-2,Andira inermis,Andira,inermis,Species,Fabaceae,,,Kunth ex DC.,(W.Wright) Kunth ex DC.,tree,TRUE,13,2952214,Andira inermis (W.Wright) DC.,EXACT,ACCEPTED,,2952214,Andira inermis (W.Wright) DC.,EXACT,ACCEPTED,
