type,label,value
species,Abarema idiopoda-ABARID,2977874
species,Acalypha diversifolia-ACALDI,3056298
species,Aegiphila costaricensis-AEGICO,3893093
species,Aegiphila elata,2925469
species,Aegiphila panamensis-AEGIPA,3891222
species,Alchornea costaricensis-ALCHCO,3055427
species,Alchornea glandulosa-ALCHGL,3055361
species,Alchornea latifolia-ALCHLA,3055359
species,Allophylus psilospermus-ALLOPS,5577078
species,Alseis blackiana-ALSEBL,5334873
species,Amphirrhox longifolia-AMPHLO,4075006
species,Amphitecna isthmica-AMP1IS,4094040
species,Andira inermis-ANDIIN,2952214
species,Aniba hostmanniana-ANIBHO,4181158
species,Aniba puchury-minor-ANIBPU,7304533
species,Annona papilionella-ROLLPI,5541609
species,Apeiba membranacea-APEIME,4260481
species,Apeiba tibourbou-APEITI,3152052
species,Aphelandra sinclairiana-APHESI,3776906
species,Ardisia copeyana-ARDIFE,5558881
species,Ardisia guianensis-ARDIGU,5558301
species,Astrocaryum standleyanum-AST1ST,2738130
species,Bactris barronis-BACTBA,2732931
species,Bactris coloniata-BACTC1,2733315
species,Bactris coloradonis-BACTC2,2733336
species,Bactris gracilior-BACTGR,2733358
species,Bactris major-BACTMA,2733004
species,Bactris maraja-BACTM1,2732946
species,Bactris obovata,8427281
species,Beilschmiedia tovarensis-BEILPE,4182784
species,Bixa urucurana-BIXAUR,4087112
species,Brosimum alicastrum-BROSAL,2984660
species,Brosimum costaricanum-BROSCO,3763319
species,Brosimum guianense-BROSGU,7374879
species,Brosimum rubescens-BROSRU,3762826
species,Brosimum utile-BROSUT,8042591
species,Brownea macrophylla-BROWMA,8170495
species,Bunchosia argentea-BUNCAR,3984105
species,Bunchosia dwyeri-BUNCDW,3983841
species,Bunchosia nitida-BUNCCO,7762264
species,Calatola costaricensis-CALACO,3597030
species,Carapa guianensis-CARAGU,3190513
species,Carludovica palmata,2860922
species,Casearia arborea-CASEAR,5331149
species,Casearia arguta-CASEA1,7595115
species,Casearia guianensis-CASEGU,5331144
species,Casearia sylvestris-CASESY,5331148
species,Casearia thamnia-LAETTH,10825085
species,Castilla tunu,3767458
species,Cecropia insignis-CECRIN,4013292
species,Cecropia longipes-CECRLO,4013134
species,Cecropia obtusifolia-CECROB,2984473
species,Cecropia peltata-CECRPE,2984476
species,Ceiba pentandra-CEIBPE,5406697
species,Celtis schippii-CELTSC,4159734
species,Cestrum schlechtendalii-CESTME,3801334
species,Chamaedorea tepejilote-CHA1TE,2734551
species,Cheiloclinium cognatum-CHEICO,3790743
species,Chomelia spinosa-CHOMSP,5337321
species,Chrysochlamys eclipes-CHR1EC,5555749
species,Chrysophyllum argenteum-CHR2AR,2885742
species,Clarisia biflora-CLARBI,7262852
species,Clarisia racemosa-CLARRA,5572170
species,Clavija costaricana-CLAVCO,3585540
species,Clavija fusca-CLAVFU,3585524
species,Clitoria arborescens,2946562
species,Coccoloba darienensis-COCCDA,4032994
species,Coccoloba manzinellensis-COCCMA,4037724
species,Cochlospermum orinocense-COCHOR,4927630
species,Cordia alliodora-CORDAL,7649215
species,Cordia bicolor-CORDBI,5660135
species,Cordia lasiocalyx-CORDLA,5661744
species,Croton schiedeanus-CROTSC,3060306
species,Cryosophila warscewiczii-CRYOWA,2731949
species,Cupania glabra,3189962
species,Cupania guatemalensis-CUPAGU,3785479
species,Cupania latifolia-CUPALA,3785309
